bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,cluster
-1.317253,0.679017,-0.569284,-0.879418,0
-1.189058,0.679017,-0.140551,0.333260,0
-1.079177,0.221299,-0.998018,-0.972701,0
-0.529772,0.170442,-0.783651,-0.381909,0
-1.537015,0.170442,-0.712196,-1.283644,0
-0.694593,1.492738,-0.069095,-0.288626,0
-1.280626,-0.338134,-1.140929,-1.003795,0
-0.786161,0.373872,-0.569284,0.053411,0
-0.694593,-0.032989,-0.569284,-1.003795,0
-0.621339,0.017869,-0.998018,-0.910512,0
-2.177987,-0.846709,-0.926562,-1.439115,0
-0.603026,-0.083846,-0.783651,-0.599569,0
-1.225685,-0.185561,-0.640740,-1.501304,0
-0.914355,0.780732,-1.140929,-0.692852,0
-0.877728,0.729875,-0.783651,0.053411,0
-1.353880,0.628159,-1.212385,-0.910512,0
-1.463761,0.323014,-0.426373,-0.941606,0
-1.134117,0.475587,-0.569284,-0.568475,0
-1.463761,-0.032989,-0.998018,-0.630663,0
-0.456518,0.679017,0.002360,-0.257532,1
0.459158,0.373872,-0.640740,-0.879418,1
1.100130,1.187592,-0.354918,-0.381909,1
1.338206,1.035020,-0.569284,-0.692852,1
0.257709,0.780732,-0.926562,-0.848323,1
1.594595,1.340165,-0.283462,-0.599569,1
0.221082,0.323014,-0.212006,-0.319720,1
0.385904,0.526444,-1.641118,-1.190361,1
1.338206,0.526444,-0.283462,-0.568475,1
0.367590,0.882447,-0.426373,-0.070966,1
1.338206,1.391023,-0.212006,-0.630663,1
0.477471,0.323014,-0.569284,-0.506286,1
1.411460,1.594453,-0.497829,-0.537380,1
0.550725,0.068726,-1.140929,-0.630663,1
1.466400,0.475587,0.002360,-0.195343,1
0.349277,-0.032989,-0.783651,-0.786135,1
1.191698,1.238450,0.002360,-0.195343,1
1.155071,1.441880,-0.283462,-1.128172,1
2.565211,0.323014,-1.426752,-0.630663,1
0.440844,0.729875,-0.783651,-0.941606,1
0.953622,0.526444,-0.426373,0.239977,1
-0.291696,0.068726,-1.426752,-0.755041,0
0.825428,0.170442,-0.712196,-1.003795,1
-0.145188,-0.287276,-0.998018,-1.625681,0
1.210011,1.136735,-0.569284,-0.506286,1
0.495785,0.373872,-0.426373,-1.128172,1
1.466400,0.933305,-0.283462,-0.070966,1
1.191698,0.628159,-0.069095,-1.003795,1
1.008563,0.933305,-0.069095,-0.506286,1
0.440844,0.323014,-0.712196,-0.630663,1
1.612908,1.441880,0.288183,0.426543,1
-0.566399,-0.287276,-0.998018,-1.252549,0
1.869297,1.848741,0.002360,0.115600,1
-0.273383,-0.236419,-0.998018,-1.065984,0
1.283265,0.831590,0.145272,-0.133155,1
1.045190,0.729875,-0.426373,-0.755041,1
0.642293,-0.185561,-0.140551,-0.381909,1
0.660606,0.577302,-0.426373,-0.444098,1
1.466400,1.797883,0.645461,0.737486,1
0.532412,-0.287276,-0.640740,-1.874435,1
1.741103,1.391023,0.288183,0.364354,1
0.916995,1.187592,0.645461,-0.319720,1
0.404217,0.170442,-0.998018,-0.692852,1
1.264952,0.984162,-0.354918,-0.817229,1
0.276022,-0.083846,-0.354918,-0.879418,1
1.264952,0.373872,-0.354918,-0.661758,1
1.246638,0.679017,0.002360,0.302166,1
1.118444,0.373872,-0.783651,-1.003795,1
0.916995,1.238450,0.788372,0.115600,1
1.374833,0.780732,-0.998018,-1.190361,1
1.063503,0.068726,-0.212006,-0.661758,1
0.752174,-0.388992,-0.140551,-1.097078,1
1.356519,0.933305,0.002360,-0.319720,1
0.312649,0.068726,-0.569284,-0.755041,1
1.228325,1.289308,0.145272,-0.195343,1
-0.273383,0.068726,-0.998018,-1.065984,0
1.503027,0.831590,-0.283462,-0.941606,1
0.221082,-0.287276,-0.712196,-1.190361,1
0.971936,1.391023,0.145272,-0.195343,1
1.136757,0.831590,0.073816,-0.506286,1
0.294336,1.136735,-0.497829,-0.848323,1
1.448087,1.187592,0.359638,-0.319720,1
0.514098,-0.338134,-0.855107,-0.692852,1
0.312649,-0.083846,-0.426373,-0.692852,1
2.162314,1.340165,0.431094,-0.257532,1
-0.090248,0.475587,0.073816,-1.003795,1
1.026876,0.526444,-0.569284,-0.537380,1
1.246638,0.933305,0.645461,-0.133155,1
1.136757,0.780732,-0.212006,-0.537380,1
0.385904,-2.016433,0.716916,0.364354,2
1.100130,-0.439849,2.074573,1.856881,2
0.862055,-1.558715,0.645461,0.302166,2
1.100130,-0.999282,1.217106,1.856881,2
0.660606,-1.355285,1.002739,1.483749,2
0.459158,-1.863860,0.645461,0.426543,2
0.257709,-1.304427,0.716916,0.737486,2
0.495785,-0.948425,1.288561,1.234995,2
-0.126875,-1.914718,0.574005,0.239977,2
0.514098,-0.897567,1.002739,1.172806,2
-0.566399,-1.762145,0.931283,0.550920,2
0.916995,-0.541564,1.074194,1.670315,2
0.276022,-1.762145,0.931283,0.550920,2
0.807114,-1.304427,0.859828,2.043446,2
0.330963,-1.304427,0.645461,-0.008777,2
0.971936,-0.744994,1.145650,2.043446,2
-0.364950,-1.863860,0.645461,-0.070966,2
0.953622,-0.999282,1.431472,2.603144,2
0.404217,-1.355285,0.574005,0.737486,2
0.862055,-1.050140,1.502928,1.421560,2
1.136757,-1.457000,1.217106,1.856881,2
0.202768,-1.355285,1.002739,0.986240,2
0.459158,-1.355285,0.859828,0.239977,2
0.422531,-0.694137,1.002739,1.048429,2
-0.200129,-2.067291,1.002739,0.986240,2
0.385904,-1.050140,1.002739,1.110617,2
0.697233,-1.100997,1.002739,1.794692,2
0.770487,-1.457000,0.645461,0.488731,2
1.100130,-0.948425,1.360017,1.670315,2
0.605666,-0.948425,1.502928,1.297183,2
-0.218442,-1.507858,0.574005,0.613109,2
0.202768,-1.355285,0.431094,1.048429,2
2.858227,-0.083846,2.074573,2.292201,2
0.935309,-1.202712,1.360017,1.172806,2
0.807114,-0.439849,1.360017,1.483749,2
-0.255069,-1.762145,0.859828,0.924052,2
0.074574,0.068726,1.288561,1.297183,2
0.001320,-1.813003,0.502550,0.177788,2
0.862055,-0.744994,0.502550,1.421560,2
-0.236756,-1.762145,0.502550,-0.319720,2
1.026876,-0.592422,1.717295,1.856881,2
0.239395,-1.762145,0.645461,0.115600,2
1.026876,-1.100997,1.074194,0.675297,2
1.191698,-0.643279,1.502928,1.670315,2
-0.071934,-1.660430,1.145650,0.861863,2
0.276022,-1.660430,0.645461,-0.008777,2
1.191698,-0.643279,1.717295,1.483749,2
0.166141,-1.965576,0.859828,1.110617,2
0.221082,-0.694137,1.002739,1.359372,2
0.477471,-1.507858,0.645461,0.799674,2
0.825428,-1.558715,1.360017,1.359372,2
0.202768,-1.406143,0.645461,0.239977,2
1.118444,-1.100997,1.717295,0.986240,2
0.459158,-1.406143,1.145650,0.861863,2
0.184455,-0.897567,1.360017,1.048429,2
-0.035307,-1.660430,0.502550,0.115600,2
0.276022,-1.100997,1.360017,0.986240,2
-0.145188,-1.355285,0.502550,0.302166,2
1.173384,-0.948425,1.645839,1.670315,2
0.239395,-1.711288,0.502550,-0.008777,2
0.404217,-1.151855,1.431472,1.359372,2
0.312649,-1.660430,0.931283,0.239977,2
1.887611,-0.744994,2.146028,1.794692,2
0.330963,-1.507858,1.288561,0.613109,2
1.063503,-0.185561,2.074573,1.856881,2
1.008563,-0.490707,2.003117,1.981258,2
-0.090248,-1.507858,1.360017,0.613109,2
1.228325,-1.100997,1.574384,1.670315,2
0.678920,-1.100997,1.074194,0.675297,2
0.440844,-0.795852,1.431472,0.986240,2
0.770487,-0.795852,1.431472,1.110617,2
0.459158,-1.202712,1.145650,1.234995,2
0.440844,-1.100997,1.074194,0.613109,2
0.843741,-0.592422,2.074573,1.981258,2
0.642293,-1.507858,0.574005,0.488731,2
1.301579,-0.439849,1.360017,2.230012,2
0.221082,-1.711288,1.002739,0.675297,2
0.221082,-0.388992,1.574384,2.167824,2
0.935309,-1.355285,0.788372,0.519826,2
1.557968,-0.795852,1.431472,1.545938,2
0.623979,-1.304427,0.788372,0.644203,2
1.100130,-0.643279,1.645839,1.421560,2
0.166141,-1.711288,0.788372,0.675297,2
1.246638,0.068726,1.931662,1.732503,2
-0.108561,-1.406143,1.217106,0.488731,2
1.338206,-1.507858,1.217106,1.359372,2
0.642293,-1.609573,0.788372,0.830769,2
1.484714,-0.083846,2.074573,1.670315,2
0.642293,-1.100997,1.217106,0.924052,2
1.503027,-0.032989,1.931662,1.483749,2
0.276022,-1.355285,0.788372,0.675297,2
1.008563,-0.541564,1.645839,1.794692,2
0.092887,-1.253570,0.931283,0.799674,2
1.246638,-0.744994,1.788750,1.234995,2
0.990249,-0.694137,1.074194,0.892957,2
0.532412,-1.304427,1.502928,0.830769,2
0.807114,-1.406143,0.145272,0.519826,2
1.301579,-0.338134,1.717295,1.297183,2
0.825428,-1.100997,1.288561,0.799674,2
2.180627,-0.083846,1.931662,1.732503,2
0.587352,-0.846709,1.002739,0.955146,2
0.935309,-1.100997,1.931662,1.608126,2
0.514098,-0.541564,1.002739,1.608126,2
-0.419891,-1.253570,0.645461,0.613109,2
1.722789,-0.694137,1.288561,1.608126,2
-0.126875,-1.609573,0.502550,0.457637,2
0.752174,-1.050140,0.574005,1.608126,2
1.191698,-0.999282,1.074194,0.986240,2
1.063503,-0.643279,2.003117,2.167824,2
-0.090248,-0.999282,0.859828,0.550920,2
1.374833,-0.439849,2.074573,1.608126,2
0.404217,-1.558715,1.145650,0.208883,2
2.034119,-0.592422,2.074573,2.043446,2
0.880368,-0.490707,1.502928,2.230012,2
0.587352,-1.762145,0.931283,0.892957,2
0.514098,-1.457000,1.002739,0.799674,2
1.173384,-0.744994,1.502928,1.919069,2
0.221082,-1.202712,0.788372,1.234995,2
1.081817,-0.541564,0.859828,1.483749,2
